ID (do not edit),Content type,Element type,Source language (PL),Target language (DE)
"{""contentId"":""da7434f2-80bc-4dc2-89b9-ce3e791ca242"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_8""><span>Fursoller sp. z o.o.</span></p>

<p class=""font_8""><span>ul. Domaniewska 47/10</span></p>

<p class=""font_8""><span>02-672 Warszawa</span></p>

<p class=""font_8""><span>+48732081945</span></p>

<p class=""font_8""><span>info@fursoller.com</span></p>","<p class=""font_8"">Fursoller sp. z o.o.</p>
<p class=""font_8"">ul. Domaniewska 47/10</p>
<p class=""font_8"">02-672 Warschau</p>
<p class=""font_8"">+48732081945</p>
<p class=""font_8"">info@fursoller.com</p>"
"{""contentId"":""f8a2d14b-59e9-4592-aa30-38b4f051918e"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h1 class=""font_0"">O nas</h1>","<h1 class=""font_0"">Über uns</h1>"
"{""contentId"":""bfb6dcfc-f102-47b0-8902-64e904685e57"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_8""><span>Polityka wysyłki w sklepie internetowym tailwhip.store</span></p>

<p class=""font_8""><span><span class=""wixGuard"">​</span></span></p>

<p class=""font_8""><span>I. Informacje og&oacute;lne</span></p>

<ol class=""font_8"" style=""text-align:left"">
	<li>
	<p class=""font_8""><span>Niniejsza Polityka Wysyłki określa zasady dostawy towar&oacute;w zam&oacute;wionych w sklepie internetowym tailwhip.store.</span></p>
	</li>
	<li>
	<p class=""font_8""><span>Dostawa zam&oacute;wionych towar&oacute;w realizowana jest wyłącznie za pośrednictwem firmy kurierskiej.</span></p>
	</li>
	<li>
	<p class=""font_8""><span>Sklep dołoży wszelkich starań, aby zam&oacute;wione towary zostały dostarczone w jak najkr&oacute;tszym czasie.</span></p>
	</li>
</ol>

<p class=""font_8""><span>II. Czas realizacji zam&oacute;wienia</span></p>

<ol class=""font_8"" style=""text-align:left"">
	<li>
	<p class=""font_8""><span>Czas otrzymania przesyłki składa się z czasu realizacji zam&oacute;wienia oraz czasu dostawy, przy czym uwzględniane są tylko dni robocze.</span></p>
	</li>
	<li>
	<p class=""font_8""><span>Czas realizacji zam&oacute;wienia wynosi do 3 dni roboczych od momentu potwierdzenia zam&oacute;wienia.</span></p>
	</li>
	<li>
	<p class=""font_8""><span>Czas dostawy jest zależny od firmy kurierskiej i wynosi zwykle 1-2 dni robocze.</span></p>
	</li>
</ol>

<p class=""font_8""><span>III. Koszty wysyłki</span></p>

<ol class=""font_8"" style=""text-align:left"">
	<li>
	<p class=""font_8""><span>Koszty wysyłki zam&oacute;wionych towar&oacute;w zostaną automatycznie wyliczone w momencie składania zam&oacute;wienia i są uzależnione od wagi i wymiar&oacute;w przesyłki.</span></p>
	</li>
	<li>
	<p class=""font_8""><span>Informacja o całkowitym koszcie wysyłki zostanie przedstawiona Klientowi przed złożeniem zam&oacute;wienia.</span></p>
	</li>
</ol>

<p class=""font_8""><span>IV. Warunki dostawy</span></p>

<ol class=""font_8"" style=""text-align:left"">
	<li>
	<p class=""font_8""><span>Dostawa zam&oacute;wionych towar&oacute;w odbywa się pod adres wskazany przez Klienta podczas składania zam&oacute;wienia.</span></p>
	</li>
	<li>
	<p class=""font_8""><span>W momencie odbioru przesyłki Klient zobowiązany jest do sprawdzenia stanu przesyłki w obecności kuriera. W przypadku uszkodzenia przesyłki należy sporządzić protok&oacute;ł szkody w obecności kuriera.</span></p>
	</li>
	<li>
	<p class=""font_8""><span>Kurier ma obowiązek dostarczyć przesyłkę do lokalu Klienta wyłącznie, gdy waga przesyłki nie przekracza 30 kg. Dla zam&oacute;wień o większej wadze, Klient zobowiązany jest do odbioru przesyłki z samochodu kuriera.</span></p>
	</li>
</ol>

<p class=""font_8""><span>V. Op&oacute;źnienia w dostawie i zagubione przesyłki</span></p>

<ol class=""font_8"" style=""text-align:left"">
	<li>
	<p class=""font_8""><span>W przypadku op&oacute;źnień w dostawie przekraczających 7 dni roboczych, Klient ma prawo skontaktować się ze Sklepem w celu wyjaśnienia przyczyn op&oacute;źnienia i ustalenia nowego terminu dostawy.</span></p>
	</li>
	<li>
	<p class=""font_8""><span>W sytuacji, gdy przesyłka została zagubiona przez firmę kurierską, Sklep niezwłocznie wysyła Klientowi towar zastępczy na własny koszt. Jeśli towar jest niedostępny, Sklep zwraca Klientowi całość wpłaconej kwoty.</span></p>
	</li>
</ol>

<p class=""font_8""><span>VI. Postanowienia końcowe</span></p>

<ol class=""font_8"" style=""text-align:left"">
	<li>
	<p class=""font_8""><span>W sprawach nieuregulowanych w niniejszej Polityce Wysyłki zastosowanie mają odpowiednie przepisy Regulaminu sklepu oraz powszechnie obowiązującego prawa.</span></p>
	</li>
	<li>
	<p class=""font_8""><span>Polityka Wysyłki wchodzi w życie z dniem opublikowania na stronie internetowej sklepu tailwhip.store.</span></p>
	</li>
</ol>","<p class=""font_8"">Versandrichtlinie im Online-Shop tailwhip.store</p>
<p class=""font_8"">​</p>
<p class=""font_8"">I. Allgemeine Informationen</p>
<ol class=""font_8"" style=""text-align:left"">Diese Versandrichtlinie legt die Lieferbedingungen für im Online-Shop tailwhip.store bestellte Waren fest. Die Lieferung der bestellten Waren erfolgt ausschließlich über ein Kurierunternehmen. Der Shop wird alle Anstrengungen unternehmen, um die bestellten Waren so schnell wie möglich zu liefern.</ol>
<p class=""font_8"">Diese Versandrichtlinie legt die Lieferbedingungen für im Online-Shop tailwhip.store bestellte Waren fest.</p>
<ol class=""font_8"" style=""text-align:left"">Die Lieferzeit setzt sich aus der Bearbeitungszeit der Bestellung und der Lieferzeit zusammen, wobei nur Werktage berücksichtigt werden. Die Bearbeitungszeit der Bestellung beträgt bis zu 3 Werktage ab Bestätigung der Bestellung. Die Lieferzeit hängt vom Kurierunternehmen ab und beträgt in der Regel 1-2 Werktage.</ol>
<p class=""font_8"">Die Lieferung der bestellten Waren erfolgt ausschließlich über ein Kurierunternehmen.</p>
<ol class=""font_8"" style=""text-align:left"">Die Versandkosten der bestellten Waren werden automatisch bei der Bestellung berechnet und hängen vom Gewicht und den Abmessungen des Pakets ab. Die Information über die gesamten Versandkosten wird dem Kunden vor der Bestellung mitgeteilt.</ol>
<p class=""font_8"">Der Shop wird alle Anstrengungen unternehmen, um die bestellten Waren so schnell wie möglich zu liefern.</p>
<ol class=""font_8"" style=""text-align:left"">Die Lieferung der bestellten Waren erfolgt an die vom Kunden bei der Bestellung angegebene Adresse. Bei Erhalt der Sendung ist der Kunde verpflichtet, den Zustand der Sendung in Anwesenheit des Kuriers zu überprüfen. Bei Beschädigung der Sendung ist ein Schadensprotokoll in Anwesenheit des Kuriers zu erstellen. Der Kurier ist verpflichtet, die Sendung nur dann an die Räumlichkeiten des Kunden zu liefern, wenn das Gewicht der Sendung 30 kg nicht überschreitet. Bei Bestellungen mit höherem Gewicht ist der Kunde verpflichtet, die Sendung vom Fahrzeug des Kuriers abzuholen.</ol>
<p class=""font_8"">II. Bearbeitungszeit der Bestellung</p>
<ol class=""font_8"" style=""text-align:left"">Bei Lieferverzögerungen von mehr als 7 Werktagen hat der Kunde das Recht, sich mit dem Shop in Verbindung zu setzen, um die Gründe für die Verzögerung zu klären und einen neuen Liefertermin zu vereinbaren. Wenn die Sendung vom Kurierunternehmen verloren geht, sendet der Shop dem Kunden unverzüglich auf eigene Kosten Ersatzware. Ist die Ware nicht verfügbar, erstattet der Shop dem Kunden den gesamten gezahlten Betrag.</ol>
<p class=""font_8"">Die Lieferzeit setzt sich aus der Bearbeitungszeit der Bestellung und der Lieferzeit zusammen, wobei nur Werktage berücksichtigt werden.</p>
<ol class=""font_8"" style=""text-align:left"">In Angelegenheiten, die in dieser Versandrichtlinie nicht geregelt sind, gelten die entsprechenden Bestimmungen der Shop-Regeln und des allgemein geltenden Rechts. Die Versandrichtlinie tritt am Tag der Veröffentlichung auf der Website des Shops tailwhip.store in Kraft.</ol>"
"{""contentId"":""4345f93d-df11-40e1-b2e5-c42be955ff18"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}",TEXT,wixui.ImageX,c2c919_7e451c53896d41fcab6f2a958f0a4ed8~mv2.jpg,
"{""contentId"":""4345f93d-df11-40e1-b2e5-c42be955ff18"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}",TEXT,wixui.ImageX,finger skate,
"{""contentId"":""71d46b87-61f2-477d-80d1-5cdcd4a46819"",""fieldId"":""menu"",""sequencePath"":[]}",TEXT,document.api.MenuService.Menu,<?xml version='1.1' encoding='UTF-8'?><menu><items/></menu>,<?xml version='1.1' encoding='UTF-8'?><menu><items/></menu>
"{""contentId"":""e7d7ec56-affc-4bf6-8a9b-a1f714d8d0cb"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,"Finger Buty na Palce, Akcesoria do Fingerboard, Finger Scooter, Fingerbike","Finger-Schuhe, Fingerboard-Zubehör, Fingerscooter, Fingerbike"
"{""contentId"":""e7d7ec56-affc-4bf6-8a9b-a1f714d8d0cb"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<div class=""item item-6"">&nbsp;</div><div class=""item item-6""><p><b>Finger Sneakers TAIL WHIP Keychain Sponge</b></p><p>Zostały stworzone przez młodą i popularną markę <b>TAIL WHIP</b>.</p><p>Odkryj najnowszą atrakcję dla miłośników fingerboard i nie tylko - Mini Buty na Palce! Te niezwykle realistyczne mini sneakersy są doskonałym dodatkiem do Twojej kolekcji fingerboard, czy jako oryginalny breloczek. Wykonane z najwyższej jakości materiałów, te miniaturowe buty zachwycają szczegółowością i autentycznością.</p><p>⭐ <b>Realistyczny Design:</b> Odtworzone z niezwykłą precyzją, te mini sneakersy wyglądają jak ich pełnowymiarowe odpowiedniki. Idealne dla fanów streetwearu i sneakerheadów.</p><p>⭐<b>Wielofunkcyjność</b>: Świetnie sprawdzą się jako urocze buty dla lalek, akcesoria do fingerboard, a nawet jako breloczki po dodaniu łańcuszka.</p><p>⭐<b>Przenośne i Bezpieczne</b>: Ich niewielki rozmiar umożliwia łatwe przenoszenie. Możesz zabrać je wszędzie, dodając stylu swojej torbie sportowej, plecaku czy kluczom.</p><p>⭐<b>Idealne na Prezent</b>: Czy to dla kolekcjonera sneakerów, miłośnika miniatur, czy jako edukacyjna zabawka dla dzieci, te mini buty to doskonały wybór na każdą okazję</p><p>⭐<b>Zestaw</b>: Każdy zestaw zawiera parę miniaturowych butów ze sznurówkami, które można regulować dla lepszego dopasowania.</p></div><div class=""item item-6"">&nbsp;</div><div class=""item item-6""><p>Ze względu na ich miniaturowy rozmiar, buty są precyzyjnie wykonane, co oznacza, że są tak unikatowe jak prawdziwe sneakersy.</p><p>Finger Buty na Palce TAILWHIP to idealny prezent w ładnie wyglądającym opakowaniu detalicznym.</p><ul>	<li>zestaw przeznaczony&nbsp;<b>dla dzieci od 6 roku życia</b></li>	<li>wymiary buta:&nbsp; 5 x 2 x 3.5 cm</li>	<li>wymiary opakowania: 7.5 x 5.5 x 4 cm</li></ul></div><div class=""item item-12""><p><b>Mini buty Finger Sneakers TAIL WHIP to doskonały prezent dla dzieci, zabawka motoryczna wspierająca rozwijanie zdolności motorycznych, a także świetne uzupełnienie wystawy sklepowej lub dekoracji w kawiarni.</b></p></div>","<div class=""item item-6""> </div><div class=""item item-6""><p>Finger Sneakers TAIL WHIP Schlüsselanhänger Schwamm</p><p>Sie wurden von der jungen und beliebten Marke TAIL WHIP kreiert.</p><p>Entdecke die neueste Attraktion für Fingerboard-Liebhaber und mehr - Mini-Schuhe für die Finger! Diese äußerst realistischen Mini-Sneakers sind eine hervorragende Ergänzung für deine Fingerboard-Sammlung oder als origineller Schlüsselanhänger. Hergestellt aus Materialien höchster Qualität, begeistern diese Miniaturschuhe durch Detailgenauigkeit und Authentizität.</p><p>⭐Realistisches Design: Mit außergewöhnlicher Präzision nachgebildet, sehen diese Mini-Sneakers aus wie ihre vollwertigen Gegenstücke. Ideal für Streetwear-Fans und Sneakerheads.</p><p>⭐Vielseitigkeit: Sie eignen sich hervorragend als niedliche Schuhe für Puppen, Fingerboard-Zubehör oder sogar als Schlüsselanhänger, wenn man eine Kette hinzufügt.</p><p>⭐Tragbar und Sicher: Ihre geringe Größe ermöglicht einfaches Tragen. Du kannst sie überallhin mitnehmen und deinem Sportbeutel, Rucksack oder Schlüsselbund Stil verleihen.</p><p>⭐Ideal als Geschenk: Ob für Sneaker-Sammler, Miniatur-Liebhaber oder als pädagogisches Spielzeug für Kinder, diese Mini-Schuhe sind die perfekte Wahl für jeden Anlass.</p><p>⭐Set: Jedes Set enthält ein Paar Miniaturschuhe mit Schnürsenkeln, die für eine bessere Passform angepasst werden können.</p></div><div class=""item item-6""> </div><div class=""item item-6""><p>Aufgrund ihrer Miniaturgröße sind die Schuhe präzise gefertigt, was bedeutet, dass sie so einzigartig sind wie echte Sneakers.</p><p>Finger-Schuhe für die Finger TAIL WHIP sind das ideale Geschenk in einer schön aussehenden Einzelhandelsverpackung.</p><ul>Set für Kinder ab 6 Jahren Schuhmaße: 5 x 2 x 3,5 cm Verpackungsmaße: 7,5 x 5,5 x 4 cm
```</ul></div><div class=""item item-12""><p>Mini-Schuhe Finger Sneakers TAIL WHIP sind ein ausgezeichnetes Geschenk für Kinder, ein motorisches Spielzeug zur Unterstützung der Entwicklung motorischer Fähigkeiten und eine großartige Ergänzung für Schaufenster oder Dekorationen in einem Café.</p></div>"
"{""contentId"":""89876d92-97b0-4060-b37d-f6813ea8e6bd"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,"Fingerboard Buty TAILWHIP, Finger Sneakers RedSpider, Akcesoria dla Dzieci","Fingerboard-Schuhe TAILWHIP, Finger-Sneakers RedSpider, Zubehör für Kinder"
"{""contentId"":""89876d92-97b0-4060-b37d-f6813ea8e6bd"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<div class=""item item-6""><p><strong>Finger Sneakers TAILWHIP Pikachiu</strong></p><p>Zostały stworzone przez młodą i popularną markę <strong>TAILWHIP</strong>.</p><p>Odkryj najnowszą atrakcję dla miłośników fingerboard i nie tylko - Mini Buty na Palce! Te niezwykle realistyczne mini sneakersy są doskonałym dodatkiem do Twojej kolekcji fingerboard, czy jako oryginalny breloczek. Wykonane z najwyższej jakości materiałów, te miniaturowe buty zachwycają szczegółowością i autentycznością.</p><p>⭐ <strong>Realistyczny Design:</strong> Odtworzone z niezwykłą precyzją, te mini sneakersy wyglądają jak ich pełnowymiarowe odpowiedniki. Idealne dla fanów streetwearu i sneakerheadów.</p><p>⭐<strong>Wielofunkcyjność:</strong> Świetnie sprawdzą się jako urocze buty dla lalek, akcesoria do fingerboard, a nawet jako breloczki po dodaniu łańcuszka.</p><p>⭐<strong>Przenośne i Bezpieczne:</strong> Ich niewielki rozmiar umożliwia łatwe przenoszenie. Możesz zabrać je wszędzie, dodając stylu swojej torbie sportowej, plecaku czy kluczom.</p><p>⭐<strong>Idealne na Prezent:</strong> Czy to dla kolekcjonera sneakerów, miłośnika miniatur, czy jako edukacyjna zabawka dla dzieci, te mini buty to doskonały wybór na każdą okazję</p><p>⭐<strong>Zestaw:</strong> Każdy zestaw zawiera parę miniaturowych butów ze sznurówkami, które można regulować dla lepszego dopasowania.</p><p>&nbsp;</p><p>Ze względu na ich miniaturowy rozmiar, buty są precyzyjnie wykonane, co oznacza, że są tak unikatowe jak prawdziwe sneakersy.</p><p>Finger Buty na Palce TAILWHIP to idealny prezent w ładnie wyglądającym opakowaniu detalicznym.</p><p>zestaw przeznaczony&nbsp;<strong>dla dzieci od 6 roku życia</strong><br>wymiary buta:&nbsp;&nbsp;3 x 1.5 cm</p></div>","<div class=""item item-6""><p>Finger Sneakers TAILWHIP Pikachiu</p><p>Sie wurden von der jungen und beliebten Marke TAILWHIP kreiert.</p><p>Entdecke die neueste Attraktion für Fingerboard-Liebhaber und mehr - Mini-Schuhe für die Finger! Diese äußerst realistischen Mini-Sneakers sind eine hervorragende Ergänzung für deine Fingerboard-Sammlung oder als origineller Schlüsselanhänger. Hergestellt aus Materialien höchster Qualität, begeistern diese Miniaturschuhe durch Detailgenauigkeit und Authentizität.</p><p>⭐Realistisches Design: Mit außergewöhnlicher Präzision nachgebildet, sehen diese Mini-Sneakers aus wie ihre vollwertigen Gegenstücke. Ideal für Streetwear-Fans und Sneakerheads.</p><p>⭐Vielseitigkeit: Sie eignen sich hervorragend als niedliche Puppenschuhe, Fingerboard-Zubehör und sogar als Schlüsselanhänger, wenn man eine Kette hinzufügt.</p><p>⭐Tragbar und Sicher: Ihre geringe Größe ermöglicht ein einfaches Mitnehmen. Du kannst sie überallhin mitnehmen und deinem Sportbeutel, Rucksack oder deinen Schlüsseln Stil verleihen.</p><p>⭐Ideal als Geschenk: Ob für einen Sneaker-Sammler, einen Miniaturen-Liebhaber oder als pädagogisches Spielzeug für Kinder, diese Mini-Schuhe sind die perfekte Wahl für jeden Anlass.</p><p>⭐Set: Jedes Set enthält ein Paar Miniaturschuhe mit Schnürsenkeln, die für eine bessere Passform angepasst werden können.</p><p>Aufgrund ihrer Miniaturgröße sind die Schuhe präzise gefertigt, was bedeutet, dass sie so einzigartig sind wie echte Sneakers.</p><p>Finger-Schuhe für die Finger TAIL WHIP sind das ideale Geschenk in einer schön aussehenden Einzelhandelsverpackung.</p><p>Set für Kinder ab 6 Jahren geeignet Schuhmaße: 3 x 1,5 cm</p><p>zestaw przeznaczony <strong>dla dzieci od 6 roku życia</strong><br/>wymiary buta:  3 x 1.5 cm</p></div>"
"{""contentId"":""7bd781b6-afb1-48fb-b9e1-474aeb167e97"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,"Sportowy Kask Ochronny TAILWHIP, Fiolet S","Sport-Schutzhelm TAILWHIP, Violett S"
"{""contentId"":""7bd781b6-afb1-48fb-b9e1-474aeb167e97"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<div class=""item item-6""></div><div class=""item item-6""><p><b>Uniwersalny kask sportowy TAIL WHIP</b> zapewnia niezawodną ochronę głowy przed upadkami i uderzeniami. Wytrzymały i lekki materiał zapewnia maksymalną ochronę przy minimalnej wadze, co jest szczególnie istotne przy długotrwałym i intensywnym użytkowaniu kasku.</p><p><b>Wykonany z:</b></p><ul><li>wytrzymałego plastiku ABS</li><li>EPS (spieniony polistyren).<p>Lekki, z przemyślaną aerodynamiką.</p></li></ul></div><div class=""item item-6""></div><div class=""item item-6""><ul><li>Wyposażony w otwory wentylacyjne</li><li>Regulowany rozmiar i pewne zapięcie dzięki blokadzie</li><li>Do dopasowania kasku rowerowego użyj pokrętła regulacyjnego umieszczonego na tylnej części kasku</li><li>Pas z blokadą pozwala na dokładne dopasowanie i wygodne założenie kasku.</li></ul></div><div class=""item item-6""></div><div class=""item item-6""></div>","<div class=""item item-6""></div><div class=""item item-6""><p>Der universelle Sporthelm TAIL WHIP bietet zuverlässigen Schutz des Kopfes vor Stürzen und Schlägen. Das strapazierfähige und leichte Material bietet maximalen Schutz bei minimalem Gewicht, was besonders bei langem und intensivem Gebrauch des Helms wichtig ist.</p><p>Hergestellt aus:</p><ul>strapazierfähigem ABS-KunststoffEPS (expandiertes Polystyrol). Leicht, mit durchdachter Aerodynamik.</ul></div><div class=""item item-6""></div><div class=""item item-6""><ul>Ausgestattet mit BelüftungsöffnungenEinstellbare Größe und sicherer Verschluss dank der SperreVerwenden Sie das Einstellrad auf der Rückseite des Helms, um den Fahrradhelm anzupassenDer Gurt mit Sperre ermöglicht eine genaue Anpassung und ein bequemes Aufsetzen des Helms.
```</ul></div><div class=""item item-6""></div><div class=""item item-6""></div>"
"{""contentId"":""d459f418-29b2-45a7-b7e4-b7dac6f2512d"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h6 class=""font_6""><span>Adres do doreczeń</span></h6>","<h6 class=""font_6""><span>Adres do doreczeń</span></h6>"
"{""contentId"":""c83c02d7-0de1-4689-8484-27ad3f7230ee"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_8"">Pn-Pt&nbsp;9:00&nbsp;&ndash; 17:00​</p>","<p class=""font_8"">Mo-Fr 9:00 – 17:00​</p>"
"{""contentId"":""ec45e94c-5afb-4b8a-930d-2da66d009df6"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}",TEXT,wixui.ImageX,c2c919_ecc88847ab8643f4b337f03d4ad31078~mv2.jpg,
"{""contentId"":""ec45e94c-5afb-4b8a-930d-2da66d009df6"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}",TEXT,wixui.ImageX,finger tech deck,
"{""contentId"":""edcba186-9ee3-4be2-9a39-4ca39e17a1a4"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}",TEXT,wixui.ImageX,9f9bce_3683c2a009644ed18423783df30d5565~mv2.png,
"{""contentId"":""edcba186-9ee3-4be2-9a39-4ca39e17a1a4"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}",TEXT,wixui.ImageX,,
"{""contentId"":""d01712ca-19ef-4837-82ad-3827f59be075"",""fieldId"":""shippingRule.name"",""sequencePath"":[]}",TEXT,shipping-rule,Domestic,
"{""contentId"":""d01712ca-19ef-4837-82ad-3827f59be075"",""fieldId"":""shippingRule.option.title"",""sequencePath"":[{""seqName"":""options"",""itemId"":""79590084-d15b-54a2-6f45-b41aa47a31c9""}]}",TEXT,shipping-rule,Polska,
"{""contentId"":""d01712ca-19ef-4837-82ad-3827f59be075"",""fieldId"":""shippingRule.option.deliveryTime"",""sequencePath"":[{""seqName"":""options"",""itemId"":""79590084-d15b-54a2-6f45-b41aa47a31c9""}]}",TEXT,shipping-rule,3,
"{""contentId"":""80ebce3b-3287-4ab4-bcfc-23f0dfa03229"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Finger Scooter TAILWHIP Mini Hulajnoga Na Palce Metalowa,Finger-Scooter TAILWHIP Mini Finger-Scooter aus Metall
